"","year","length"
"655",1953,150
"656",1986,164
"657",1980,144
"658",2004,92
"659",2001,150
"660",1952,101
"661",2004,149
"662",1975,133
"663",1993,170
"664",2002,165
"665",1986,144
"666",1999,26
"667",1974,153
"668",1992,173
"669",1994,55
"670",1954,146
"671",1984,74
"672",1999,96
"673",1975,99
"674",1952,95
"675",2001,160
"676",1990,152
"677",1968,146
"678",1994,155
"679",1999,93
"680",2001,95
"681",1997,81
"682",2000,82
"683",2001,90
"684",1976,82
"685",1994,128
"686",1995,115
"687",2003,90
"688",2002,99
"689",1945,103
"690",1949,78
"691",2003,123
"692",1965,92
"693",1988,95
"694",1989,85
"695",1991,88
"696",1946,90
"697",1998,80
"698",1953,81
"699",1952,75
"700",1953,80
"701",1951,86
"702",1955,85
"703",1949,88
"704",1955,83
"705",1945,85
"706",1950,85
"707",1991,96
"708",1993,105
"709",1996,95
"710",1974,89
"711",2003,79
"712",1974,103
"713",1986,87
"714",1994,2
"715",1994,92
"716",1975,95
"717",2002,96
"718",1984,144
"719",1957,80
"720",1972,91
"721",1955,103
"722",1991,89
"723",1940,110
"724",1978,54
"725",2000,15
"726",1986,100
"727",2003,85
"728",2005,82
"729",1999,146
"730",1961,90
"731",1926,66
"732",1965,158
"733",1973,83
"734",1997,113
"735",2000,106
"736",1997,93
"737",1978,97
"738",2004,86
"739",1993,55
"740",1962,150
"741",1946,96
"742",1999,104
"743",1946,89
"744",1984,105
"745",1993,87
"746",2003,109
"747",2001,97
"748",2004,87
"749",2003,13
"750",1994,117
"751",1971,94
"752",1961,7
"753",1957,85
"754",1963,86
"755",1986,100
"756",1996,100
"757",2002,84
"758",2000,105
"759",1952,94
"760",1986,113
"761",1954,104
"762",2002,125
"763",2002,101
"764",2001,9
"765",1998,85
"766",1943,90
"767",1995,95
"768",2000,92
"769",1955,92
"770",1952,122
"771",2001,91
"772",1999,9
"773",1988,93
"774",1994,96
"775",1993,78
"776",2001,81
"777",1930,97
"778",1990,95
"779",1991,90
"780",2004,100
"781",1997,117
"782",1944,80
"783",1930,80
"784",1989,92
"785",1959,99
"786",1966,88
"787",1934,87
"788",2004,94
"789",1981,116
"790",1993,112
"791",1961,97
"792",1992,95
"793",1977,7
"794",2003,96
"795",2001,105
"796",2004,94
"797",2001,80
"798",1957,95
"799",1986,108
"800",1997,91
"801",1999,72
"802",1997,121
"803",1936,70
"804",1991,87
"805",1978,95
"806",2001,23
"807",1997,13
"808",1973,88
"809",1999,15
"810",1994,30
"811",1969,90
"812",1973,90
"813",1998,147
"814",1938,88
"815",1983,94
"816",1947,7
"817",2000,104
"818",1999,107
"819",1928,107
"820",2003,102
"821",1989,171
"822",1997,90
"823",1971,75
"824",1978,105
"825",1983,88
"826",1954,105
"827",1955,95
"828",1961,120
"829",1999,86
"830",1935,77
"831",1983,100
"832",1984,88
"833",1997,95
"834",1967,105
"835",1985,121
"836",1988,121
"837",1988,86
"838",2000,15
"839",1938,62
"840",1992,111
"841",2001,95
"842",2004,87
"843",1957,59
"844",1989,100
"845",1999,50
"846",2001,35
"847",2000,18
"848",1996,17
"849",1956,74
"850",1949,101
"851",1988,111
"852",1936,255
"853",1973,89
"854",1976,92
"855",1994,86
"856",1995,90
"857",1951,111
"858",1933,76
"859",1921,75
"860",1976,114
"861",1936,63
"862",1936,62
"863",1992,98
"864",1961,90
"865",1994,50
"866",1981,85
"867",1974,73
"868",1941,18
"869",1996,11
"870",2000,90
"871",1990,99
"872",1994,93
"873",1951,90
"874",2003,92
"875",1968,65
"876",1998,111
"877",2005,72
"878",2001,20
"879",1984,90
"880",1983,109
"881",2003,94
"882",2003,103
"883",1971,94
"884",1996,108
"885",1976,101
"886",1997,123
"887",1946,8
"888",1995,125
"889",1972,102
"890",1973,90
"891",2003,54
"892",1950,55
"893",1957,103
"894",1976,100
"895",2000,99
"896",1995,88
"897",1942,97
"898",1949,56
"899",1995,51
"900",1941,59
"901",1991,100
"902",1951,78
"903",1928,86
"904",1963,110
"905",1949,13
"906",1948,91
"907",1988,101
"908",1971,32
"909",1948,82
"910",1998,94
"911",1970,103
"912",1982,94
"913",2005,8
"914",1986,240
"915",1976,110
"916",1974,6
"917",2001,90
"918",2000,103
"919",1980,121
"920",1988,96
"921",1997,5
"922",1989,10
"923",1964,6
"924",1989,89
"925",1983,15
"926",1937,83
"927",1944,72
"928",1943,126
"929",1957,93
"930",1974,87
"931",1999,99
"932",1963,94
"933",1952,82
"934",2003,60
"935",2003,91
"936",1953,90
"937",1997,90
"938",1997,90
"939",2001,94
"940",1993,98
"941",1997,57
"942",1967,114
"943",1982,102
"944",1961,109
"945",2002,112
"946",1987,118
"947",2000,7
"948",1991,6
"949",1997,4
"950",1997,104
"951",2003,99
"952",2004,90
"953",2004,83
"954",1941,81
"955",1949,70
"956",1927,70
"957",1970,100
"958",1995,106
"959",1953,96
"960",1949,101
"961",1970,116
"962",1947,48
"963",1983,91
"964",1994,89
"965",1966,79
"966",2002,114
"967",1981,165
"968",1993,94
"969",1991,99
"970",1988,87
"971",1997,100
"972",1998,74
"973",2003,115
"974",1995,82
"975",1969,100
"976",1942,95
"977",1978,91
"978",1971,103
"979",1971,91
"980",1984,85
"981",1944,75
"982",1997,92
"983",1957,2
"984",1987,88
"985",2000,103
"986",1977,32
"987",1963,105
"988",1969,99
"989",1982,90
"990",1994,93
"991",1996,85
"992",1983,130
"993",1985,90
"994",2003,124
"995",2001,91
"996",1985,115
"997",1962,106
"998",1985,94
"999",1988,92
"1000",1968,115
"1001",2003,85
"1002",1997,135
"1003",1999,118
"1004",1975,91
"1005",1989,88
"1006",1991,102
"1007",1957,94
"1008",1897,1
"1009",1899,1
"1010",1953,108
"1011",1950,87
"1012",1932,7
"1013",1999,4
"1014",1979,90
"1015",1985,90
"1016",1975,105
"1017",1937,87
"1018",1972,102
"1019",1938,8
"1020",1952,84
"1021",1977,88
"1022",2002,100
"1023",1933,88
"1024",1962,105
"1025",1992,108
"1026",1996,16
"1027",1999,112
"1028",1996,95
"1029",1996,88
"1030",2000,97
"1031",2002,40
"1032",1998,15
"1033",2000,10
"1034",1960,128
"1035",1972,75
"1036",2000,85
"1037",1973,85
"1038",1966,95
"1039",1967,6
"1040",1964,100
"1041",1945,135
"1042",1934,69
"1043",1947,66
"1044",1949,89
"1045",1940,76
"1046",1943,65
"1047",1936,73
"1048",1986,110
"1049",1975,91
"1050",1914,14
"1051",1937,60
"1052",1951,74
"1053",1970,171
"1054",1987,102
"1055",1992,88
"1056",1945,10
"1057",2000,41
"1058",1988,125
"1059",1972,114
"1060",1911,18
"1061",1983,90
"1062",1984,103
"1063",1967,108
"1064",1989,119
"1065",1951,100
"1066",1941,216
"1067",1987,85
"1068",1908,12
"1069",1947,65
"1070",1948,110
"1071",1999,89
"1072",1990,104
"1073",1948,180
"1074",1976,106
"1075",1948,71
"1076",1970,92
"1077",1954,94
"1078",2000,5
"1079",1993,108
"1080",1939,91
"1081",1960,107
"1082",1949,68
"1083",1939,58
"1084",1961,70
"1085",1938,100
"1086",1944,130
"1087",1986,86
"1088",1942,87
"1089",1991,85
"1090",1996,92
"1091",2002,95
"1092",1935,9
"1093",1994,104
"1094",1955,100
"1095",1998,96
"1096",1940,205
"1097",1935,229
"1098",1938,102
"1099",2000,88
"1100",1998,99
"1101",1939,85
"1102",1949,252
"1103",1943,265
"1104",1938,119
"1105",1978,88
"1106",1977,96
"1107",1943,64
"1108",1976,89
"1109",1986,87
"1110",1943,265
"1111",1939,60
"1112",1962,26
"1113",1975,100
"1114",1937,61
"1115",2002,129
"1116",1999,90
"1117",2002,21
"1118",1933,62
"1119",1962,142
"1120",1996,109
"1121",1999,90
"1122",1984,9
"1123",1989,105
"1124",1924,67
"1125",1987,85
"1126",1943,78
"1127",1983,85
"1128",1935,82
"1129",1910,4
"1130",2004,152
"1131",1957,77
"1132",1957,75
"1133",1952,98
"1134",2001,118
"1135",1995,95
"1136",1957,119
"1137",1953,87
"1138",1948,109
"1139",1978,24
"1140",1973,105
"1141",2000,96
"1142",1954,110
"1143",1980,107
"1144",1985,75
"1145",1955,103
"1146",1946,118
"1147",1937,102
"1148",1932,55
"1149",1994,96
"1150",1934,25
"1151",1921,117
"1152",1938,68
"1153",1937,56
"1154",1934,80
"1155",1953,72
"1156",1976,72
"1157",1942,66
"1158",1945,110
"1159",2002,27
"1160",1941,88
"1161",1990,87
"1162",1904,3
"1163",1976,100
"1164",2002,10
"1165",1996,45
"1166",1997,114
"1167",1989,90
"1168",1990,140
"1169",2002,60
"1170",1989,90
"1171",1910,38
"1172",1998,50
"1173",1975,92
"1174",2004,80
"1175",1991,91
"1176",1988,87
"1177",2001,90
"1178",1967,109
"1179",1975,98
"1180",1989,94
"1181",1949,82
"1182",1930,75
"1183",1933,11
"1184",1966,83
"1185",1971,110
"1186",1982,96
"1187",1998,40
"1188",1994,39
"1189",1983,101
"1190",1945,6
"1191",1955,75
"1192",1951,105
"1193",1989,100
"1194",1952,70
"1195",2003,17
"1196",1990,105
"1197",2002,112
"1198",1993,88
"1199",1968,100
"1200",1947,97
"1201",2002,13
"1202",1958,86
"1203",2003,66
"1204",1991,105
"1205",2000,87
"1206",1973,79
"1207",1942,102
"1208",2000,37
"1209",2000,24
"1210",2003,27
"1211",1977,109
"1212",1990,45
"1213",1999,100
"1214",1990,114
"1215",1985,104
"1216",1988,84
"1217",2002,87
"1218",1980,25
"1219",1984,26
"1220",1985,96
"1221",2001,92
"1222",1927,70
"1223",1989,90
"1224",1943,64
"1225",1935,72
"1226",2002,94
"1227",1989,89
"1228",2000,90
"1229",2000,96
"1230",1999,88
"1231",1933,71
"1232",2004,72
"1233",1935,60
"1234",2000,87
"1235",2004,97
"1236",1936,112
"1237",2004,15
"1238",2003,100
"1239",1997,113
"1240",1978,7
"1241",1985,90
"1242",1994,30
"1243",2002,83
"1244",1982,81
"1245",2001,74
"1246",1980,80
"1247",1972,80
"1248",2003,10
"1249",1990,91
"1250",2000,112
"1251",1997,95
"1252",1981,120
"1253",1952,83
"1254",1984,128
"1255",1975,89
"1256",2001,10
"1257",1997,81
"1258",2004,111
"1259",1948,96
"1260",1991,97
"1261",2000,86
"1262",1968,105
"1263",1968,95
"1264",1974,96
"1265",1972,97
"1266",1971,92
"1267",2004,120
"1268",1979,105
"1269",1991,90
"1270",1969,98
"1271",1932,63
"1272",1977,101
"1273",1934,81
"1274",1993,139
"1275",1999,76
"1276",1980,98
"1277",1980,94
"1278",1999,82
"1279",1977,89
"1280",1978,91
"1281",2003,102
"1282",2004,100
"1283",2004,5
"1284",2002,78
"1285",1966,84
"1286",1972,97
"1287",1985,96
"1288",1987,90
"1289",1965,94
"1290",1965,104
"1291",1966,106
"1292",1966,92
"1293",1963,110
"1294",2004,109
"1295",1983,88
"1296",1991,88
"1297",1978,92
"1298",1933,73
"1299",1959,91
"1300",1996,80
"1301",2002,115
"1302",1982,92
"1303",1997,120
"1304",1972,82
"1305",1990,174
"1306",1995,106
"1307",1999,92
"1308",1985,98
"1309",1988,146
"1310",2002,126
"1311",1981,148
"1312",1965,138
"1313",1966,83
"1314",1985,86
"1315",1962,105
"1316",1972,121
"1317",1987,90
"1318",1978,83
"1319",1975,101
"1320",1982,110
"1321",2003,90
"1322",1948,100
"1323",1952,82
"1324",1972,100
"1325",1998,93
"1326",2000,105
"1327",1983,110
"1328",1998,100
"1329",1967,89
"1330",1966,88
"1331",1954,95
"1332",1979,154
"1333",1995,2
"1334",1994,6
"1335",1965,6
"1336",1935,98
"1337",1996,97
"1338",1987,86
"1339",1989,109
"1340",1993,80
"1341",1952,110
"1342",1967,98
"1343",2000,124
"1344",1990,110
"1345",1997,113
"1346",2001,105
"1347",1992,110
"1348",1978,104
"1349",1976,101
"1350",1994,115
"1351",1972,90
"1352",1998,135
"1353",2001,101
"1354",1989,96
"1355",1959,62
"1356",1951,107
"1357",1998,90
"1358",1993,93
"1359",1993,87
"1360",2004,96
"1361",2004,110
"1362",1953,102
"1363",2001,75
"1364",1937,88
"1365",2002,119
"1366",1976,104
"1367",1992,87
"1368",2003,89
"1369",1981,95
"1370",1994,75
"1371",2004,91
"1372",2004,112
"1373",1964,90
"1374",1955,82
"1375",1990,90
"1376",1933,8
"1377",1952,7
"1378",1945,7
"1379",1937,8
"1380",1995,106
"1381",1998,109
"1382",1994,120
"1383",2003,3
"1384",1990,115
"1385",1997,98
"1386",1998,90
"1387",1951,94
"1388",1943,124
"1389",1997,124
"1390",1933,19
"1391",1935,68
"1392",1933,67
"1393",2003,90
"1394",1943,67
"1395",1955,67
"1396",1994,107
"1397",1954,110
"1398",1989,87
"1399",1997,112
"1400",1962,80
"1401",1993,91
"1402",1998,88
"1403",1999,92
"1404",1996,96
"1405",1994,92
"1406",1932,84
"1407",1941,5
"1408",1982,85
"1409",1980,88
"1410",1970,137
"1411",1977,114
"1412",1974,107
"1413",1998,93
"1414",1998,10
"1415",2004,107
"1416",1973,90
"1417",1997,114
"1418",2000,92
"1419",1961,105
"1420",2001,29
"1421",1997,100
"1422",1958,120
"1423",2000,91
"1424",1989,134
"1425",2003,134
"1426",1995,102
"1427",1999,87
"1428",1974,147
"1429",1991,178
"1430",2002,17
"1431",1988,101
"1432",1984,166
"1433",1969,115
"1434",1965,185
"1435",2001,119
"1436",1979,73
"1437",1964,150
"1438",1966,95
"1439",1980,115
"1440",2003,159
"1441",2003,92
"1442",1956,87
"1443",1974,78
"1444",1965,115
"1445",2001,82
"1446",1950,116
"1447",1991,180
"1448",1973,90
"1449",1977,90
"1450",1984,109
"1451",1995,160
"1452",1974,95
"1453",1984,105
"1454",1960,128
"1455",1988,124
"1456",1962,113
"1457",1990,156
"1458",1978,159
"1459",2005,95
"1460",1997,118
"1461",2001,110
"1462",1987,88
"1463",1970,137
"1464",1980,108
"1465",1943,76
"1466",2002,90
"1467",1977,144
"1468",1994,102
"1469",1981,131
"1470",1996,145
"1471",1996,20
"1472",1959,104
"1473",1998,2
"1474",1951,79
"1475",1993,21
"1476",2000,2
"1477",2002,90
"1478",1984,82
"1479",1992,90
"1480",1988,90
"1481",1992,125
"1482",2000,95
"1483",1967,92
"1484",2002,85
"1485",2003,111
"1486",1972,95
"1487",1942,94
"1488",1977,160
"1489",1973,96
"1490",1969,21
"1491",1992,90
"1492",1983,70
"1493",1952,67
"1494",1939,22
"1495",1969,71
"1496",1906,12
"1497",1992,102
"1498",1969,90
"1499",2000,156
"1500",1982,116
"1501",1991,90
"1502",1977,110
"1503",1985,98
"1504",1960,192
"1505",2004,137
"1506",1988,37
"1507",1992,96
"1508",1997,86
"1509",2004,25
"1510",2003,8
"1511",2002,66
"1512",1991,108
"1513",2002,95
"1514",1989,45
"1515",1996,109
"1516",1949,65
"1517",1954,78
"1518",1997,40
"1519",1990,80
"1520",1971,92
"1521",1996,104
"1522",1978,186
"1523",1998,105
"1524",1998,80
"1525",1980,110
"1526",1953,88
"1527",1992,105
"1528",1990,92
"1529",1976,97
"1530",1996,97
"1531",1948,90
"1532",2000,93
"1533",1937,63
"1534",1984,86
"1535",2002,18
"1536",1906,3
"1537",2000,50
"1538",1984,88
"1539",1990,91
"1540",1938,92
"1541",1996,70
"1542",2002,45
"1543",1976,98
"1544",1994,97
"1545",1938,112
"1546",1976,118
"1547",1956,16
"1548",2004,72
"1549",1995,65
"1550",1993,93
"1551",2003,96
"1552",1976,100
"1553",1986,88
"1554",2001,96
"1555",1970,110
"1556",2000,122
"1557",1992,80
"1558",1988,81
"1559",2004,175
"1560",1931,70
"1561",1956,141
"1562",1938,106
"1563",1983,99
"1564",2003,103
"1565",1967,100
"1566",2001,110
"1567",2004,128
"1568",2000,27
"1569",2002,104
"1570",1964,142
"1571",1972,90
"1572",1938,89
"1573",1942,80
"1574",1987,9
"1575",1996,97
"1576",1966,114
"1577",2004,103
"1578",1975,102
"1579",1966,68
"1580",1998,17
"1581",2001,88
"1582",1969,122
"1583",1972,98
"1584",2002,91
"1585",1938,95
"1586",2001,165
"1587",1907,8
"1588",1936,7
"1589",1957,7
"1590",1937,80
"1591",1944,90
"1592",2002,88
"1593",2000,95
"1594",1940,7
"1595",1954,92
"1596",1999,13
"1597",2002,98
"1598",1991,100
"1599",1946,56
"1600",1942,67
"1601",1930,66
"1602",1959,92
"1603",1915,50
"1604",1956,66
"1605",1949,93
"1606",1935,10
"1607",1988,83
"1608",1948,76
"1609",1932,69
"1610",2001,25
"1611",2002,15
"1612",1980,153
"1613",1929,90
"1614",1955,103
"1615",1935,20
"1616",1935,72
"1617",1935,18
"1618",1965,95
"1619",1992,100
"1620",1963,97
"1621",1937,84
"1622",1998,11
"1623",1990,102
"1624",2002,50
"1625",2003,18
"1626",1993,2
"1627",1935,99
"1628",1975,84
"1629",1974,112
"1630",1974,80
"1631",1925,7
"1632",1998,124
"1633",2004,19
"1634",1903,8
"1635",1915,52
"1636",1931,55
"1637",1933,76
"1638",1949,96
"1639",1951,75
"1640",1988,51
"1641",1926,9
"1642",1925,11
"1643",1972,95
"1644",1926,8
"1645",1925,9
"1646",1969,111
"1647",1923,12
"1648",1974,104
"1649",1994,8
"1650",1991,90
"1651",1982,90
"1652",1979,116
"1653",1980,92
"1654",2005,90
"1655",1999,35
"1656",1997,75
"1657",1999,80
"1658",1980,69
"1659",1979,92
"1660",1997,85
"1661",2001,75
"1662",1977,80
"1663",2003,92
"1664",1993,120
"1665",2002,30
